name,proto,anim,tang,gender,possessable,posr,unique,count,size,tags,precomp,complements,inflections,prohibitions,disabled
prime minister,queen,,,--,,,,,,,,,,,
president,queen,,,--,,,,,,,,,,,
prince,king,,,,,,,,,,,,,,
princess,queen,,,,,,,,,,,,,,
duchess,queen,,,,,,,,,,,,,,
earl,king,,,,,,,,,,,,,,
chief,king,,,,,,,,,,,,,,
governor,president,,,,,,,,,,,,,,
Queen Elizabeth,Cinderella,,,,,,,,,,,,,,
rabble-rouser,human,,,,,,,,,,,,,,
refrigerator,machine,,,,,,,,,container,,,,,
rhinoceros,dog,,,,,,,,7,,,,,,
Robinson Crusoe,Batman,,,,,,,,,,,,,,
rockstar,human,,,,,,,,,,,,,,
Himalaya,Alp,,,,,,,,,,,,,,
saint,human,,,,2,,,,,,,,,,
Santa Clause,Batman,,,,,,,,,,,,,,
sheep,dog,,,,,,,,"5,6",,,,pl:sheep,,
singing,dancing,,,,,,,,,,,,,,
sister,mother,,,,,,,,,,,,,,
skunk,dog,,,,,,,,,,,,,,
smartphone,phone,,,,,,,,4,audioDevice,,,,,
iPhone,smartphone,,,,,,,,,,,,,,
stereo,device,,,,,,,,5,audioDevice,,,,,
Walkman,stereo,,,,,,,,4,,,,,,
radio,stereo,,,,,,,,"4,5",,,,,,
gramophone,stereo,,,,,,,,5,,,,,,
boombox,stereo,,,,,,,,"4,5",,,,,,
smoking,dancing,,,,,,,,,,,,,,
motorbike,,1,2,,7,,0,TRUE,6,"motorVehicle, groundVehicle",,,,,
snowmobile,motorbike,,,,,,,,,,,,,,
South America,Japan,,,,,,,,12,continent,,,,,
Spaniard,human,,,,0,,,,,,,,,,
spider,bug,,,,,,,,,,,,,,
Spongebob,Batman,,,,,,,,,,,,,,
Stalin,Batman,,,,,,,,,,,,,,
statement.1,statement,,,,0,,,,,,,(40 by NP{anim:3}) (40 about NP),,,
Steve Martin,Batman,,,,,,,,,,,,,,
stick,rock,,,,,,,,"4,5",,,,,,
student,doctor,,,,,,,,,,,,,,
tank,car,,,,,,,,,,,,,,
the Bible,The Iliad,,,,,,,,,,,,,,
thesis,book,,,,,,,,,,,,pl:theses,,
time-travel,dancing,,,,,,,,,,,,,,
tire,rock,,,,,,,,5,artifact,,,,,
tractor,car,,,,,,,,,,,,,,
train,bus,,,,,,,,8,,,,,,
truck,car,,,,,,,,,,,,,,
tsunami,disaster,,,,,,,,,phenomenon,,,,,
tuk-tuk,car,,,,,,,,,,,,,,
turtle,dog,,,,,,,,"4,5",waterAnimal,,,,,
van,car,,,,,,,,,,,,,,
vehicle,car,,,,,,,,,,,,,,
victim,human,,,,3,anim:>1,,,,,,,,,
War and Peace,The Iliad,,,,,,,,,,,,,,
watermelon,banana,,,,,,,,5,,,,,,
whale-watching,dancing,,,,,,,,,,,,,,
William Wallace,Batman,,,,,,,,,,,,,,
wipper-snapper,human,,,,,,,,,,,,,,
wolf,dog,,,,,,,,"5,6",,,,pl:wolves,,
wombat,dog,,,,,,,,,,,,,,
wood,garbage,,,,,,,,,"solid,-",,,,,
wookie,human,,,,2,,,,,,,,,,
yeti,dog,,,,,,,,6,,,,,,
yoga,dancing,,,,,,,,,,,,,,
circumstance,situation,,,,,,,,,,,,,,
puzzle,problem,,,,,,,,,,,,,,
dilemma,problem,,,,,,,,,,,,,,
issue,problem,,,,,,,,,,,,,,
equation,problem,,,,,,,,,,,,,,
riddle,question,,,,2,,,,,,,,,,
assignment,task,,,,,,,,,,,,,,
mission,task,,,,,,,,,,,,,,
job,task,,,,,,,,,obligation,,,,,
gang,team,,,,,,,,,,,,,,
government,choir,,,,,tags:territory,,,,,,,,,
choir,team,,,,,,,,,,,--,,,
band,team,,,,,,,,,,,,,,
herd,team,2,,,,,,,"8,9","collective,-",,(60 of N{number:pl;anim:2;pronominal:false;person:3;tags:!collective}),,,
luggage,furniture,,,,,,,,5,,,,,,
flock,herd,,,,,,,,"8,9",,,,,,
plan,strategy,,,,,,,,,undertaking,,(30 INF_PHRASE{volition:true}),,,
project,plan,,,,,,,,,,,,,,
experiment,plan,,,,,,,,,,,,,,
scheme,plan,,,,,,,,,,,,,,
work,dancing,,,,,,,,,"behaviour, procedure, -",,,,,
sorcery,dancing,,,,,,,,,,,,,,
voodoo,dancing,,,,,,,,,,,,,,
prophecy,dancing,,,,,,,,,,,,,,
population,government,,,,,,,,,,,,,,
toil,work.1,,,,,,,,,difficulty,,,,,
gambling,dancing,,,,,,,,,,,,,,
denizen,citizen,,,,,tags:place,,,,,,,,,
author,human,,,,,"name:book,orsimilar:true",,,,,,,,,
parking lot,forest,,,,,,,,8,,,,,,
beach,,0,1,,0,,0,TRUE,"7,8",field,,,,,
park,forest,,,,,,,,,,,,,,
ex-girlfriend,human,,,f,8,"anim:3,gender:!f",,,,,,,,,
friend,human,,,,7,,,,,,,,,,
stranger,human,,,,,,,,,,,,,,
foreigner,human,,,,,,,,,,,,,,
immigrant,human,,,,,,,,,,,,,,
owner,human,,,,8,"anim:<3,tags:object",,,,,,,,,
owner1,human,,,,,,,,,,,(of DP{tags:item|animal|building|organization;def:def;partial:false}),,,
White House,Taj Mahal,,,,,,,,,,,,,,
stadium,house,,,,,,,,,,,,,,
Eiffel Tower,Taj Mahal,,,,,,,,,"structure, -",,,,,
Empire State Building,Taj Mahal,,,,,,,,,,,,,,
Parthenon,Taj Mahal,,,,,,,,,,,,,,
Great Wall of China,Taj Mahal,,,,,,,,,"perimeter, vertical, structure, surface, -",,,,,
Space Needle,Taj Mahal,,,,,,,,,,,,,,
Louvre,Taj Mahal,,,,,,,,,,,,,,
swarm,herd,,,,,,,,"6,7,8",,,,,,
spoon,rock,,,,,,,,,instrument,,,,,
knife,spoon,,,,,,,,,,,,pl:knives,,
ball,rock,,,,,,,,,artifact,,,,,
midget,human,,,,,,,,5,,,,,,
witch,human,,,f,,,,,,,,,,,
floor,,0,2,,2,,0,TRUE,8,"surface, grounded",,,,,
street,road,,,,,,,,,"surface, grounded",,,,,
sidewalk,street,,,,,,,,,,,,,,
ice,floor,,,,,,0,FALSE,,,,,,"number:pl, quantified:true, def:indef",
ice1,,0,2,,2,,0,FALSE,0,solid,,,,,
lawn,floor,,,,,,,,,,,,,,
air,,0,1,,1,,0,FALSE,0,gas,,,,,
sand,,0,2,,3,,0,FALSE,0,aggregate,,,,,
gravel,sand,,,,,,,,,,,,,,
bark mulch,sand,,,,,,,,,,,,,,
Lego,sand,,,,,,,,,,,,,,
heap,pile,,,,,,,,"5,6,7,8",,,,,,
mound,pile,,,,,,,,"4,5,6",,,,,,
wall,,0,2,,3,,0,TRUE,"7,8","surface, structure, vertical",,,,,
fence,wall,,,,,,,,,,,,,,
bridge,street,,,,,,,,,"structure, bridge",,,,,
overpass,bridge,,,,,,,,,,,,,,
lake,,0,1,,4,tags:country|continent,0,TRUE,"8,9",openWater,,,,,
ocean,lake,,,,,,1,,13,,,,,,
Mediterranean,lake,,,,,,1,FALSE,12,,,,,,
river,lake,,,,,,,,9,path,,,,,
creek,river,,,,,,,,7,"-, bodyOfWater",,,,,
Alabama,Japan,,,,,,,,,,,,,,
island,forest,,,,,,,,"8,9","-,land,surface",,,,,
labyrinth,,0,1,,3,,0,TRUE,8,"area,structure",,,,,
computer programming,dancing,,,,,,,,,,,,,,
pair of pants,skirt,,,,,,,,5,,,,pl: pants,,
pairs of pants,pair of pants,,,,,,,,,,,,pl:pairs of pants,number:sg,
dress,skirt,,,,,,,,,,,,,,
skirt,shirt,,,,,,,,,hasLength,,,,,
sweater,shirt,,,,,,,,,,,,,,
jacket,shirt,,,,,,,,,,,,,,
hat,shirt,,,,,,,,4,,,,,,
shirt,,0,2,,7,,0,TRUE,5,clothing,,,,,
shoe,shirt,,,,,,,,4,,,,,,
heat,,0,1,,2,,0,FALSE,0,"energy, feelable",,,,,
pressure,heat,,,,,,,,,force,,,,,
pole,,0,2,,3,,0,TRUE,"6,7","vertical, path, structure",,,,,
ladder,pole,,,,,,,,,,,,,,
stair,,0,2,,3,,0,TRUE,"6,7,8","incline, structure",,,,number:sg,
entrance,,0,2,,3,,0,TRUE,"4,5,6,7,8",opening,,,,,
exit,entrance,,,,,,,,,,,,,,
doorway,entrance,,,,,,,,"6,7",,,,,,
gate,entrance,,,,,,,,"6,7","construction, breakable",,,,,
window,gate,,,,,,,,"5,6,7","elevated, feature",,,,,
cloud,,0,2,,0,,0,TRUE,"7,8","thing, elevated, obstacle, gas",,,,,
smoke,cloud,,,,,,,FALSE,,"thing, obstacle, gas, -",,,,,
fume,smoke,,,,,,,,,,,,,number:sg,TRUE
grass,,0,2,,0,,0,FALSE,0,aggregate,,,,,
grass1,grass,,,,,,,,,"-, feature,obstacle,grounded",,,,,
underbrush,grass1,,,,,,,,,,,,,,
field,forest,,,,,,,,,,,,,,
